Dataset,Strategy,Scenario,Parameters,Local_Modified_Traces,Total_Modified_Traces,Fitness,Precision,Generalization,Simplicity
sepsis,REPAIR,repaired_isolated_Sub148,freq_sorted+similarity_sorted+ged_sorted,13,13,0.7076,0.308,0.9519,0.6842
sepsis,REPAIR,repaired_isolated_Sub513,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3087,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub353,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3078,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub261,freq_sorted+similarity_sorted+ged_sorted,1,1,0.7074,0.3089,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub507,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub312,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3084,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub265,freq_sorted+similarity_sorted+ged_sorted,2,2,0.7074,0.3088,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub257,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3085,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub327,freq_sorted+similarity_sorted+ged_sorted,2,2,0.7075,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub94,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3083,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub925,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub938,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3085,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub281,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub341,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3081,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub549,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub961,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3071,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub123,freq_sorted+similarity_sorted+ged_sorted,3,3,0.7073,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub131,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3082,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub331,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.308,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub948,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3079,0.9518,0.6842
sepsis,REPAIR,repaired_isolated_Sub405,freq_sorted+similarity_sorted+ged_sorted,0,0,0.7074,0.3081,0.9518,0.6842
