Step,Anomaly_ID,Cumulative_Traces_Modified,Frequency,GED,Fitness,Precision,Generalization,Simplicity
0,BASELINE,0,-,-,0.9274,0.7774,0.9516,0.6279
1,Sub19,2834,2772,1.0,0.9288,0.7162,0.9819,0.6279
